topic	rank	download_priority	category	score	year	title	doi	pmid	url	cytokines
core_armored_CART_IL12	67	1	core_self_secreting_or_armored_cytokine_cart	56	2023	Recombinant oncolytic adenovirus armed with CCL5, IL-12, and IFN-γ promotes CAR-T infiltration and proliferation in vivo to eradicate local and distal tumors.	10.1038/s41420-023-01626-4	37660142	https://pubmed.ncbi.nlm.nih.gov/37660142/	IL-12
core_armored_CART_IL12	68	1	core_self_secreting_or_armored_cytokine_cart	56	2023	Inducible expression of interleukin-12 augments the efficacy of affinity-tuned chimeric antigen receptors in murine solid tumor models.	10.3389/fonc.2018.00019	37045815	https://pubmed.ncbi.nlm.nih.gov/37045815/	IL-12
core_armored_CART_IL12	73	1	core_self_secreting_or_armored_cytokine_cart	56	2022	SSTR2 as an anatomical imaging marker and a safety switch to monitor and manage CAR T cell toxicity.	10.1073/pnas.101130498	36463361	https://pubmed.ncbi.nlm.nih.gov/36463361/	IL-12
core_armored_CART_IL12	77	1	core_self_secreting_or_armored_cytokine_cart	56	2021	EXTH-18. IL-12 ARMORED CAR T CELL THERAPY FOR HETEROGENEOUS GLIOBLASTOMA	10.1093/neuonc/noab196.657		https://doi.org/10.1093/neuonc/noab196.657	IL-12
core_armored_CART_IL12	80	1	core_self_secreting_or_armored_cytokine_cart	56	2018	[Not Available].	10.1016/S0007-4551(19)30048-7	30686356	https://pubmed.ncbi.nlm.nih.gov/30686356/	IL-12
core_armored_CART_IL15	35	1	core_self_secreting_or_armored_cytokine_cart	56	2026	CAR-NK Cells in B-cell Lymphoma: A New Frontier toward Accessible and Scalable Cellular Therapy.	10.1158/2643-3230.BCD-26-0086	41996826	https://pubmed.ncbi.nlm.nih.gov/41996826/	IL-15
core_armored_CART_IL15	36	1	core_self_secreting_or_armored_cytokine_cart	56	2026	Coexpression of IL15 Promotes Effector Differentiation and Sustained Proliferative Capacity in ALPPL2-Specific Human CAR T Cells.	10.1158/2326-6066.CIR-25-0609	41860794	https://pubmed.ncbi.nlm.nih.gov/41860794/	IL-15
core_armored_CART_IL15	37	1	core_self_secreting_or_armored_cytokine_cart	56	2026	Anti-BCMA-CAR-IL15 natural killer cells prevent multiple myeloma growth in the bone marrow but allow subsequent emergence of extramedullary disease.	10.1016/j.canlet.2025.218235	41453427	https://pubmed.ncbi.nlm.nih.gov/41453427/	IL-15
core_armored_CART_IL15	48	1	core_self_secreting_or_armored_cytokine_cart	56	2025	Perspective: IL-15 cytokine-armored NK cells as ready-to-use immunotherapy for diverse malignancies: therapeutic potential and toxicity risks.	10.1186/s13045-024-01525-w	41346590	https://pubmed.ncbi.nlm.nih.gov/41346590/	IL-15
core_armored_CART_IL15	49	1	core_self_secreting_or_armored_cytokine_cart	56	2025	Co-expression of IL-15/IL-15Ra complex enhances NKG2D-CAR T cell-mediated anti-pancreatic cancer immunity by activating the JAK/STAT5 signaling pathway.	10.4049/jimmunol.1002145	40625735	https://pubmed.ncbi.nlm.nih.gov/40625735/	IL-15
